"Date","Price","Open","High","Low","Vol.","Change %"
"May 30, 2018","103.85","103.85","103.85","103.85","0.02K","0.78%"
"May 31, 2018","104.15","104.15","104.15","104.15","0.02K","0.29%"
"Jun 01, 2018","104.60","104.60","104.60","104.60","-","0.43%"
"Jun 04, 2018","105.30","105.30","105.30","105.30","-","0.67%"
"Jun 05, 2018","104.65","104.65","104.65","104.65","0.05K","-0.62%"
"Jun 06, 2018","104.70","104.70","104.70","104.70","0.05K","0.05%"
"Jun 07, 2018","105.65","105.65","105.65","105.65","0.05K","0.91%"
"Jun 08, 2018","105.60","105.60","105.60","105.60","0.01K","-0.05%"
"Jun 11, 2018","105.85","105.85","105.85","105.85","-","0.24%"
"Jun 12, 2018","106.15","106.15","106.15","106.15","0.04K","0.28%"
"Jun 13, 2018","106.00","106.00","106.00","106.00","0.03K","-0.14%"
"Jun 14, 2018","105.90","105.90","105.90","105.90","0.01K","-0.09%"
"Jun 15, 2018","105.80","105.80","105.80","105.80","-","-0.09%"
"Jun 18, 2018","105.80","105.80","105.80","105.80","-","0.00%"
"Jun 19, 2018","105.85","105.85","105.85","105.85","-","0.05%"
"Jun 20, 2018","105.10","105.10","105.10","105.10","0.01K","-0.71%"
"Jun 21, 2018","104.25","104.25","104.25","104.25","-","-0.81%"
"Jun 22, 2018","104.25","104.25","104.25","104.25","-","0.00%"
"Jun 25, 2018","104.25","104.25","104.25","104.25","-","0.00%"
"Jun 26, 2018","104.30","104.30","104.30","104.30","-","0.05%"
"Jun 27, 2018","104.30","104.30","104.30","104.30","-","0.00%"
"Jun 28, 2018","104.35","104.35","104.35","104.35","-","0.05%"
